"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"RO";90,8075581395349;91,1753946861764;-0,36783654664147;0,0779661225218167;"RO";0
"AC";91,4823691460055;91,5431279620853;-0,0607588160797974;0,870091987617542;"AC";0
"AM";88,3249677141627;88,3561124468282;-0,0311447326654672;0,872839767033599;"AM";0
"RR";92,6027692307692;92,8573569482289;-0,254587717459657;0,590256867697107;"RR";0
"PA";85,1716435185185;85,0239851731308;0,147658345387697;0,322689120416465;"PA";0
"AP";87,1604628736741;86,5056572379368;0,65480563573729;0,0712349144718944;"AP";0
"TO";92,8205559146736;93,119384359401;-0,298828444727434;0,0565090593063589;"TO";0
"PI";83,8575567190227;84,7293043081139;-0,871747589091186;5,6140986625193e-05;"PI";1
"CE";91,9720177602368;92,0739822259839;-0,101964465747116;0,361884667076944;"CE";0
"RN";83,8776882803061;83,9449025357944;-0,0672142554882953;0,750058019626983;"RN";0
"PB";84,0124718151071;84,2914783029131;-0,279006487805987;0,114503242823059;"PB";0
"PE";86,996992786752;86,8190401669275;0,177952619824509;0,151325019930689;"PE";0
"AL";85,0959228650138;85,6610109159943;-0,565088050980535;0,0150604370670155;"AL";1
"SE";80,7610962566845;81,0526860097673;-0,291589753082818;0,277365076732723;"SE";0
"MA";89,882248748556;90,2221918262455;-0,339943077689526;0,00127116104057099;"MA";1
"BA";83,0052501576624;83,0554280829622;-0,0501779252997778;0,67707345967424;"BA";0
"MG";95,9593819310957;95,8077378888644;0,151644042231283;0,00319434538403017;"MG";1
"ES";91,6750050150451;91,6614065477222;0,0135984673229785;0,911130730928833;"ES";0
"RJ";86,7855744949495;87,1087335063811;-0,323159011431642;0,00116571436619894;"RJ";1
"SP";96,4003040610183;96,4909935904495;-0,0906895294312022;0,00518365152120233;"SP";1
"PR";93,8383025185616;94,0183296977252;-0,180027179163503;0,0015430524029773;"PR";1
"SC";95,7502410532171;95,5720252664824;0,178215786734711;0,00117876002155179;"SC";1
"RS";91,6783044258373;91,4186022654413;0,259702160395989;0,000234888800152206;"RS";1
"MS";87,428084638637;87,8190732506436;-0,390988612006581;0,0143572761519;"MS";1
"MT";96,6125051419169;96,2956873789826;0,316817762934335;0,00438177687380891;"MT";1
"GO";93,3083978893006;93,6550019275251;-0,346604038224513;0,000301637557363326;"GO";1
"DF";91,5834637454356;91,2588717015469;0,324592043888714;0,223236907907465;"DF";0
