"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"RO";78,7355969331873;78,3920112781955;0,343585654991813;0,528016279715897;"RO";0
"AC";80,7550151975684;81,0286842105263;-0,273669012957939;0,732254864644928;"AC";0
"AM";81,0931318681319;80,9203098106713;0,172822057460607;0,686689704807527;"AM";0
"RR";77,5803212851406;79,1357388316151;-1,55541754647456;0,130187453410709;"RR";0
"PA";70,1945121951219;69,625376344086;0,569135851035924;0,0677430451213493;"PA";0
"AP";70,4879518072289;71,72421875;-1,2362669427711;0,12661535279963;"AP";0
"TO";82,6497630331754;83,7261952861953;-1,07643225301993;0,00388520854964647;"TO";1
"PI";75,0909627443748;76,5761070404588;-1,48514429608399;7,67696800700959e-05;"PI";1
"CE";83,259002609452;83,792424619985;-0,53342201053303;0,0539912981051215;"CE";0
"RN";71,4262191623637;71,0470704086657;0,379148753698061;0,352003344969439;"RN";0
"PB";75,3900346620451;76,6594040968343;-1,2693694347892;0,000247874252742435;"PB";1
"PE";84,0503809743708;82,9044175911252;1,14596338324561;3,16649898287899e-05;"PE";1
"AL";73,7107049608355;75,5975280898876;-1,88682312905213;0,000444268060949233;"AL";1
"SE";70,9212086659065;72,1990281827017;-1,27781951679515;0,035619324317968;"SE";1
"MA";78,3870229007634;80,4930295633306;-2,10600666256727;1,29700968721067e-15;"MA";1
"BA";72,2718091384252;73,7639626495477;-1,49215351112248;1,30835026173228e-10;"BA";1
"MG";79,6859127295558;80,558099235091;-0,872186505535254;4,80659749293442e-11;"MG";1
"ES";79,3849137931035;80,0433104177684;-0,658396624664931;0,105950048929666;"ES";0
"RJ";73,5538977237293;74,6934957173448;-1,13959799361542;2,60680858155991e-06;"RJ";1
"SP";84,6102151715676;84,7196844760721;-0,109469304504586;0,253551416518753;"SP";0
"PR";79,2476998541694;80,6785771382894;-1,43087728411994;6,88986036214565e-21;"PR";1
"SC";81,6613806903452;81,7902649149257;-0,128884224580531;0,550550808368031;"SC";0
"RS";72,4106714239377;73,1604936549993;-0,749822231061572;0,00159772930209438;"RS";1
"MS";74,091619047619;75,0177610333692;-0,926141985750164;0,0234119832724135;"MS";1
"MT";68,1209570957096;69,0201127819549;-0,899155686245322;0,0378318392218393;"MT";1
"GO";82,5786889818689;84,1230750893921;-1,54438610752324;4,51695305092652e-09;"GO";1
"DF";75,252772073922;74,1617021276596;1,09106994626239;0,141292924035202;"DF";0
