"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"RO";15,3848974518334;15,0848694725626;0,300027979270837;0,419690912414239;"RO";0
"AC";6,21478770131772;5,94176245210728;0,273025249210437;0,359278685203906;"AC";0
"AM";9,51264406779661;9,16518195050946;0,347462117287149;0,090781368850065;"AM";0
"RR";12,7556034482759;12,2320754716981;0,523527976577748;0,336034592559141;"RR";0
"PA";14,6512736094264;14,4498429789143;0,201430630512132;0,228271642381965;"PA";0
"AP";13,7001594896332;13,2081575246132;0,492001965019954;0,279188398524021;"AP";0
"TO";12,1509975062344;11,2170243204578;0,933973185776617;1,75974558767173e-05;"TO";1
"PI";14,772262471538;13,9758029592205;0,796459512317485;9,86010402756422e-05;"PI";1
"CE";9,45869187057868;8,95559095887683;0,503100911701855;9,14167476723142e-06;"CE";1
"RN";20,8138281647178;20,532844317933;0,280983846784846;0,227652530776035;"RN";0
"PB";15,7488627132413;15,3835578100402;0,365304903201038;0,0333837876957948;"PB";1
"PE";14,3492940025164;14,0598692177283;0,289424784788164;0,0515478836311126;"PE";0
"AL";16,7773716632444;15,5942080800858;1,18316358315855;1,24933840562387e-05;"AL";1
"SE";25,5134002618944;24,3650943396226;1,14830592227173;0,000661631525334222;"SE";1
"MA";11,7928195904815;11,2176105878145;0,575209002666986;6,1980375857636e-07;"MA";1
"BA";19,446391011236;18,9487948997046;0,497596111531401;0,000349624209440674;"BA";1
"MG";12,2218666789092;12,0017865575319;0,220080121377316;0,00653110117209658;"MG";1
"ES";16,3621963824289;15,5869759143622;0,775220468066765;0,000117413996290338;"ES";1
"RJ";16,5749566366565;16,2813307631898;0,293625873466645;0,0212058277155558;"RJ";1
"SP";6,31352457705715;6,20999314411079;0,103531432946359;0,0243234359820259;"SP";1
"PR";12,6572684833351;11,3834943340145;1,27377414932065;4,48642220933783e-34;"PR";1
"SC";10,4621041520056;10,6032280701754;-0,141123918169809;0,204888513048065;"SC";0
"RS";18,8231937489683;18,3013210662892;0,521872682679032;3,46574198500355e-06;"RS";1
"MS";17,4045933014354;16,2314487632509;1,17314453818452;7,69112986786873e-07;"MS";1
"MT";5,17585233952504;5,17715032154341;-0,00129798201836717;0,992413640523507;"MT";0
"GO";7,90871644964124;7,36020571428571;0,54851073535553;6,80226326006931e-07;"GO";1
"DF";15,6956442831216;16,6838177533386;-0,988173470216973;0,00900107502100704;"DF";1
