"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"RO";8,06355098389982;7,68459761262996;0,378953371269864;0,0321795951462408;"RO";1
"AC";6,94214876033058;6,57780410742496;0,364344652905618;0,138278956478256;"AC";0
"AM";8,87746448557899;8,75803587941557;0,119428606163419;0,435975130573545;"AM";0
"RR";6,22092307692308;6,14645776566757;0,0744653112555023;0,858816264713743;"RR";0
"PA";11,1555765993266;11,2947111472742;-0,139134547947608;0,227614376680709;"PA";0
"AP";10,8261330761813;11,3336106489185;-0,507477572737177;0,107103538948715;"AP";0
"TO";6,62126696832579;6,260205213533;0,361061754792791;0,0127614440215121;"TO";1
"PI";12,9947818499127;12,386588521845;0,608193328067712;0,000674015645510888;"PI";1
"CE";6,56272323630982;6,40502750740584;0,157695728903978;0,089111464932747;"CE";0
"RN";12,5107933950866;12,3595480420907;0,151245352995852;0,345675694398104;"RN";0
"PB";11,0473788049605;10,8350779644627;0,21230084049783;0,0883156538826506;"PB";0
"PE";10,1685868129635;10,2171013736741;-0,0485145607106165;0,608721863294069;"PE";0
"AL";10,6977961432507;10,174822021832;0,522974121418699;0,00210793077327742;"AL";1
"SE";15,6569852941176;15,2880206837116;0,368964610406069;0,0957554853028546;"SE";0
"MA";7,50757604928764;7,28306391444914;0,224512134838498;0,00659888313074845;"MA";1
"BA";12,5807073786;12,4296936158726;0,151013762727372;0,0990336158874117;"BA";0
"MG";3,37009463255951;3,47351467204589;-0,103420039486377;0,0161106180278513;"MG";1
"ES";7,44208625877633;7,4135111727005;0,0285750860758265;0,781896203528155;"ES";0
"RJ";11,6094507575758;11,26650443435;0,342946323225767;5,77613216762453e-05;"RJ";1
"SP";3,28698206555349;3,23518204444836;0,0518000211051342;0,0823537942658336;"SP";0
"PR";5,98528170039307;5,80617637893425;0,179105321458823;0,00119294034955067;"PR";1
"SC";4,03975523827183;4,19609948677458;-0,156344248502742;0,00260464956901926;"SC";1
"RS";7,7736543062201;7,97868347937593;-0,205029173155839;0,00169312919175263;"RS";1
"MS";11,5054685353119;11,0776035572198;0,427864978092147;0,00219305454341953;"MS";1
"MT";2,60055532702592;2,77729273015314;-0,176737403127227;0,034966676963549;"MT";1
"GO";5,51945660716291;5,09562451811874;0,42383208904417;1,20062153036366e-07;"GO";1
"DF";7,647209181012;7,89144676979072;-0,244237588778721;0,223406024900447;"DF";0
