"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"RO";4,13573648228714;3,91337240277038;0,222364079516757;0,119687509290895;"RO";0
"AC";3,501317715959;3,43269476372925;0,0686229522297577;0,787007402738688;"AC";0
"AM";7,42047457627119;7,42556040756914;-0,00508583129795426;0,98070600465699;"AM";0
"RR";4,12198275862069;4,20415094339623;-0,0821681847755364;0,782583588260287;"RR";0
"PA";7,20745104834517;6,99908778226409;0,208363266081079;0,0882135662300329;"PA";0
"AP";5,27511961722488;4,74978902953587;0,525330587689015;0,137190666571456;"AP";0
"TO";2,80752285951787;2,66881258941345;0,138710270104424;0,22056568417207;"TO";0
"PI";5,50753467191058;5,17257307831108;0,334961593599498;0,00683791658876309;"PI";1
"CE";4,36231010089296;4,45847854226825;-0,0961684413752861;0,218209086991186;"CE";0
"RN";8,44974580579563;8,71486752791767;-0,265121722122043;0,14794989754025;"RN";0
"PB";10,7963241267262;10,2761238411754;0,520200285550796;0,00476110408503448;"PB";1
"PE";6,57026422480078;6,94779607653185;-0,377531851731065;0,00445417526195288;"PE";1
"AL";12,9374948665298;12,2726850196639;0,664809846865849;0,0398051261326848;"AL";1
"SE";8,50973374072457;7,86056603773585;0,649167702988725;0,00236166475650329;"SE";1
"MA";5,19215550636414;5,05782759031835;0,13432791604579;0,13398161747187;"MA";0
"BA";8,65746516853933;8,26181775773597;0,39564741080336;0,000236356611659902;"BA";1
"MG";3,5859425213479;3,59316071147489;-0,00721819012699187;0,865445164467421;"MG";0
"ES";2,79121447028424;2,98809099018733;-0,196876519903095;0,0365409617910066;"ES";1
"RJ";3,78525646320311;3,67067180695367;0,114584656249439;0,120016909833956;"RJ";0
"SP";1,61608941763408;1,52611545317428;0,0899739644598019;7,62102873255762e-07;"SP";1
"PR";3,05547714688959;2,8914267137284;0,164050433161184;0,00293859710571915;"PR";1
"SC";1,35285010555947;1,33809523809524;0,0147548674642271;0,683316629349903;"SC";0
"RS";2,22995652891652;2,29400330266572;-0,0640467737491988;0,0624983375435735;"RS";0
"MS";4,01933014354067;3,96422941016581;0,0551007333748643;0,675498798447672;"MS";0
"MT";2,30844110039972;2,63743971061093;-0,328998610211214;0,00049453561021951;"MT";1
"GO";4,44767472761095;4,14403428571429;0,303640441896663;0,00134303523684159;"GO";1
"DF";3,27540834845735;3,17109190887667;0,104316439580681;0,63624878751057;"DF";0
