"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"RO";1,1288908765653;1,14000770119369;-0,0111168246283899;0,903567395232598;"RO";0
"AC";1,57548209366391;1,87906793048973;-0,30358583682582;0,241025597721477;"AC";0
"AM";2,79756780025829;2,88585167375624;-0,0882838734979554;0,283964744091917;"AM";0
"RR";1,17630769230769;0,996185286103542;0,18012240620415;0,32848285213186;"RR";0
"PA";3,67277988215488;3,68130367959497;-0,00852379744009113;0,903939658844597;"PA";0
"AP";2,01340405014465;2,16073211314476;-0,147328063000111;0,261673247165213;"AP";0
"TO";0,558177117000646;0,620410427066001;-0,0622333100653547;0,166203187822847;"TO";0
"PI";3,14766143106457;2,8841071700411;0,26355426102347;0,00256331729676049;"PI";1
"CE";1,46525900345338;1,52099026661024;-0,0557312631568618;0,139276030302822;"CE";0
"RN";3,61151832460733;3,69554942211489;-0,0840310975075571;0,431940372828129;"RN";0
"PB";4,94014937993236;4,8734437326242;0,0667056473081571;0,532094149073046;"PB";0
"PE";2,83442040028447;2,96385845939837;-0,129438059113899;0,0499153552536308;"PE";1
"AL";4,20628099173554;4,16416706217371;0,0421139295618298;0,753447109869905;"AL";0
"SE";3,58191844919786;3,65929330652111;-0,0773748573232536;0,489405311861152;"SE";0
"MA";2,61017520215633;2,49474425930531;0,115430942851021;0,033370411702113;"MA";1
"BA";4,41404246373765;4,51487830116525;-0,100835837427599;0,117288586823688;"BA";0
"MG";0,670523436344817;0,718747439089734;-0,0482240027449169;0,0474938964397407;"MG";1
"ES";0,882908726178536;0,925082279577343;-0,0421735533988071;0,408229529796285;"ES";0
"RJ";1,60497474747475;1,62476205926887;-0,0197873117941254;0,623298492389011;"RJ";0
"SP";0,312713873428159;0,27382436510209;0,0388895083260689;0,00146429037377469;"SP";1
"PR";0,176415781045276;0,175493923340605;0,000921857704671292;0,878964396078469;"PR";0
"SC";0,210003708511033;0,231875246742993;-0,0218715382319597;0,116193215795517;"SC";0
"RS";0,548041267942584;0,602714255182731;-0,0546729872401476;0,000585842876334708;"RS";1
"MS";1,06644682605111;1,10332319213667;-0,0368763660855593;0,527004493507547;"MS";0
"MT";0,786939531057178;0,927019890864284;-0,140080359807106;0,014493792282003;"MT";1
"GO";1,17214550353654;1,24937355435621;-0,0772280508196623;0,0513928157977095;"GO";0
"DF";0,769327073552426;0,84968152866242;-0,0803544551099947;0,579091806058186;"DF";0
