"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"RO";10,2598028477547;10,3807330827068;-0,120930234952112;0,739037040758118;"RO";0
"AC";9,53920972644377;9,40315789473684;0,136051831706927;0,808587429721738;"AC";0
"AM";11,3738324175824;11,6310384394722;-0,257206021889758;0,477792774230012;"AM";0
"RR";8,89678714859438;9,26666666666667;-0,36987951807229;0,58874398845276;"RR";0
"PA";18,3879842180775;17,8163748079877;0,571609410089764;0,0364014425122779;"PA";1
"AP";15,4846385542169;15,5096354166667;-0,0249968624497985;0,97372782725733;"AP";0
"TO";7,5326224328594;7,24390572390572;0,288716708953676;0,254049283366806;"TO";0
"PI";16,6877904832165;15,2482637782733;1,43952670494319;9,63681490799816e-06;"PI";1
"CE";10,0150478399536;9,87824570147022;0,136802138483388;0,497187078155877;"CE";0
"RN";16,8747561675273;17,9402757262432;-1,06551955871598;0,00964587538563064;"RN";1
"PB";15,6650779896014;14,5598510242086;1,10522696539282;0,000244764340157416;"PB";1
"PE";7,91729392749942;8,88005150554675;-0,962757578047328;1,83133026984652e-05;"PE";1
"AL";16,7490861618799;15,279925093633;1,46916106824693;0,00256255298107019;"AL";1
"SE";15,6217787913341;14,5405247813411;1,08125400999299;0,020763429946469;"SE";1
"MA";11,7877544529262;11,1119880661785;0,675766386747743;0,00220138013419838;"MA";1
"BA";13,0391333670545;11,8607090749927;1,17842429206175;5,10905400079468e-11;"BA";1
"MG";9,08613247527861;8,71033642455832;0,375796050720291;9,10006823777673e-06;"MG";1
"ES";7,31853448275862;7,65864621893178;-0,340111736173162;0,173599841786338;"ES";0
"RJ";10,5183504833177;9,69767130620985;0,820679177107893;3,05163393210408e-06;"RJ";1
"SP";4,3995091809457;4,17855340939041;0,220955771555289;8,08830246852845e-07;"SP";1
"PR";8,05137213310354;7,68036998972251;0,371002143381032;0,000703197138854136;"PR";1
"SC";6,96785892946473;7,31029506784407;-0,342436138379334;0,00612012586731263;"SC";1
"RS";9,69219915666559;9,37920792079208;0,312991235873506;0,0259505140251819;"RS";1
"MS";9,9288253968254;10,1307319698601;-0,201906573034668;0,491987207327509;"MS";0
"MT";13,6336633663366;13,975;-0,341336633663365;0,332770940491609;"MT";0
"GO";8,46493723849372;7,46615017878427;0,998787059709456;6,33813887480096e-08;"GO";1
"DF";6,73798767967146;7,35709219858156;-0,619104518910102;0,152105930226711;"DF";0
