"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"RO";80,4793660658794;81,001758124667;-0,522392058787588;0,225960081644608;"RO";0
"AC";90,2838945827233;90,6255427841635;-0,341648201440194;0,419833634993747;"AC";0
"AM";83,0668813559322;83,4092576419214;-0,342376285989189;0,272446315951559;"AM";0
"RR";83,1224137931034;83,5637735849057;-0,441359791802213;0,519202236042106;"RR";0
"PA";78,1412753422284;78,5510692388216;-0,409793896593214;0,0551749772549236;"PA";0
"AP";81,0247208931419;82,0420534458509;-1,01733255270896;0,07717182190328;"AP";0
"TO";85,0414796342477;86,1141630901288;-1,07268345588105;3,40532318657909e-05;"TO";1
"PI";79,7202028565514;80,8516239624684;-1,13142110591698;8,44987141649852e-06;"PI";1
"CE";86,1789980285284;86,5859304988549;-0,406932470326566;0,0084612510214155;"CE";1
"RN";70,7364260294865;70,7522881541493;-0,015862124662803;0,955749761571664;"RN";0
"PB";73,4548131600325;74,3403183487843;-0,885505188751821;0,000368325787521855;"PB";1
"PE";79,0804417726828;78,9923347057399;0,0881070669428965;0,684414678315019;"PE";0
"AL";70,2851334702259;72,1331069002503;-1,8479734300244;9,94610387642144e-06;"AL";1
"SE";65,9768659973811;67,7743396226415;-1,79747362526045;5,36828430894723e-06;"SE";1
"MA";83,0150249031544;83,7245618218672;-0,709536918712772;3,15946587186708e-06;"MA";1
"BA";71,8961438202247;72,7893873425595;-0,893243522334757;1,40504661083519e-07;"BA";1
"MG";84,1921907997429;84,4050527309932;-0,21286193125033;0,0268827389405252;"MG";1
"ES";80,8465891472868;81,4249330954505;-0,578343948163663;0,0114367254139141;"ES";1
"RJ";79,6397869001404;80,0479974298565;-0,408210529716072;0,00951916995718348;"RJ";1
"SP";92,0703860053088;92,2638914027149;-0,193505397406156;0,00017274176302334;"SP";1
"PR";84,2872543697753;85,7250789522571;-1,43782458248184;7,41309340592899e-30;"PR";1
"SC";88,1850457424349;88,0586766917293;0,126369050705591;0,298707638015344;"SC";0
"RS";78,9468497221152;79,4046756310451;-0,45782590892982;0,000164459695011369;"RS";1
"MS";78,5760765550239;79,8043218265833;-1,22824527155939;2,41919964593975e-05;"MS";1
"MT";92,5157065600752;92,1854099678457;0,330296592229587;0,0673407186059898;"MT";0
"GO";87,6436088227478;88,49576;-0,852151177252196;9,9684980807992e-08;"GO";1
"DF";81,0289473684211;80,1450903377848;0,883857030636293;0,0492261832054985;"DF";1
