"";"media_grupo_par";"media_grupo_impar";"diferenca_medias";"p_valor";"uf";"significativo"
"RO";11,004600219058;11,2272556390977;-0,222655420039695;0,573571650577928;"RO";0
"AC";9,70577507598784;9,56815789473684;0,137617181251001;0,815041612581057;"AC";0
"AM";7,53303571428571;7,44865174985657;0,0843839644291453;0,762942202778972;"AM";0
"RR";13,5228915662651;11,5975945017182;1,92529706454685;0,0123080934196052;"RR";1
"PA";11,4175035868006;12,5582488479263;-1,14074526112569;6,4338291476086e-07;"PA";1
"AP";14,0274096385542;12,7661458333333;1,26126380522088;0,0325142214497844;"AP";1
"TO";9,81761453396524;9,02989898989899;0,787715544066254;0,0017314981383513;"TO";1
"PI";8,2212467724087;8,17562918126792;0,0456175911407843;0,819934916072749;"PI";0
"CE";6,72594955059438;6,32932967854473;0,396619872049646;0,00287926898327568;"CE";1
"RN";11,699024670109;11,0126538650911;0,686370805017919;0,0297144078973326;"RN";1
"PB";8,94488734835355;8,78074487895717;0,164142469396385;0,408353277707536;"PB";0
"PE";8,03232509812976;8,21553090332805;-0,183205805198288;0,191924576874394;"PE";0
"AL";9,54020887728459;9,1225468164794;0,417662060805194;0,167977078896836;"AL";0
"SE";13,4570125427594;13,2604470359572;0,196565506802168;0,639756351135338;"SE";0
"MA";9,82522264631043;8,39498237049091;1,43024027581952;2,50579373458388e-17;"MA";1
"BA";14,6890574945203;14,3753282754596;0,313729219060731;0,082635736993258;"BA";0
"MG";11,2279547951656;10,7315643403506;0,496390454814955;1,35233666485946e-06;"MG";1
"ES";13,2965517241379;12,2980433632998;0,998508360838089;0,00137659185986502;"ES";1
"RJ";15,9277517929529;15,6088329764454;0,318918816507518;0,0509369499127884;"RJ";0
"SP";10,9902756474867;11,1017621145374;-0,111486467050701;0,164636895542877;"SP";0
"PR";12,700928012727;11,6410528719881;1,05987514073891;9,81418567232456e-19;"PR";1
"SC";11,3707603801901;10,8994400172302;0,471320362959856;0,00299597615092965;"SC";1
"RS";17,8971294193967;17,4602984242086;0,436830995188075;0,0227258076806444;"RS";1
"MS";15,9795555555556;14,8515069967707;1,12804855878483;0,000291084078224312;"MS";1
"MT";18,2453795379538;17,0048872180451;1,24049231990868;0,00185590220449041;"MT";1
"GO";8,95637377963738;8,4107747318236;0,545599047813779;0,000680315244614347;"GO";1
"DF";18,0092402464066;18,4812056737589;-0,471965427352295;0,431719029652646;"DF";0
